S.No.,Name,Market Capltilization- Crore,Sales Qtrly - Crore
1,Reliance Inds.,"5,83,437","99,810"
2,TCS,"5,63,710","30,904"
3,HDFC Bank,"4,82,954","20,581"
4,ITC,"3,20,985","9,772"
5,H D F C,"2,89,497","16,841"
6,Hind. Unilever,"2,88,265","8,590"
7,Maruti Suzuki,"2,63,494","19,283"
8,Infosys,"2,48,320","17,794"
9,O N G C,"2,39,982","22,996"
10,St Bk of India,"2,32,763","57,014"
11,ICICI Bank,"2,03,802","13,665"
12,Kotak Mah. Bank,"1,99,254","6,391"
13,Coal India,"1,92,678","21,643"
14,Larsen & Toubro,"1,80,861","28,747"
15,I O C L,"1,78,017","1,10,667"
16,Bharti Airtel,"1,67,131","20,319"
17,Axis Bank,"1,36,381","11,722"
18,NTPC,"1,35,391","20,774"
19,Sun Pharma.Inds.,"1,34,241","6,653"
20,Hind.Zinc,"1,33,267","5,922"
21,Wipro,"1,31,841","13,669"
22,HCL Technologies,"1,26,335","12,809"
23,Vedanta,"1,22,184","24,361"
24,Tata Motors,"1,17,072","74,156"
25,UltraTech Cem.,"1,13,693","8,019"
26,Asian Paints,"1,08,044","4,261"
27,Power Grid Corpn,"1,02,016","7,507"
28,B P C L,"98,278","60,616"
29,IndusInd Bank,"97,380","4,287"
30,Bajaj Fin.,"94,477","3,541"
31,Bajaj Auto,"88,253","6,369"
32,M & M,"88,142","11,578"
33,HDFC Stand. Life,"87,358","9,735"
34,Adani Ports,"81,782","2,689"
35,Bajaj Finserv,"79,795","7,665"
36,GAIL (India),"78,671","14,414"
37,Avenue Super.,"74,066","4,095"
38,Titan Company,"73,886","4,275"
39,JSW Steel,"73,870","17,861"
40,Grasim Inds,"73,533","15,291"
41,Tata Steel,"73,376","32,464"
42,Eicher Motors,"73,311","2,269"
43,Nestle India,"73,015","2,601"
44,Godrej Consumer,"71,860","2,630"
45,Yes Bank,"71,028","5,070"
46,Hero Motocorp,"69,449","7,305"
47,Motherson Sumi,"68,590","14,398"
48,SBI Life Insuran,"67,465","9,570"
49,General Insuranc,"66,316","8,558"
50,Bharti Infra.,"61,777",
51,Dabur India,"60,015","1,966"
52,Bosch,"59,204","3,072"
53,Shree Cement,"58,987","2,296"
54,New India Assura,"58,108","5,074"
55,H P C L,"58,035","57,474"
